Unnamed: 0,Game,ReleaseDate,Genre,TotalEarnings,OfflineEarnings,PercentOffline,TotalPlayers,TotalTournaments,Country,Date,Earnings,Players,Tournaments
3077,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2018-09-01,1169777.84,559.0,12.0
3078,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2018-10-01,47343.89,248.0,9.0
3079,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2018-11-01,143008.0,119.0,2.0
3080,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2018-12-01,1800.0,27.0,1.0
3081,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2019-01-01,1035800.98,602.0,11.0
3082,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2019-02-01,25685.9,27.0,3.0
3083,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2019-03-01,511801.18,135.0,5.0
3084,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2019-04-01,12893.02,24.0,2.0
3085,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2019-05-01,1956577.2,520.0,11.0
3086,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2019-06-01,191229.0,123.0,5.0
3087,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2019-07-01,506454.51,111.0,3.0
3088,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2019-08-01,1031180.64,422.0,8.0
3089,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2019-09-01,3811048.85,212.0,5.0
3090,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2019-10-01,382478.37,264.0,5.0
3091,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2019-11-01,113497.2,119.0,3.0
3092,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2019-12-01,15000.0,12.0,1.0
3093,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2020-01-01,11862.0,39.0,2.0
3094,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2020-02-01,984.0,13.0,1.0
3095,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2020-04-01,21150.0,20.0,1.0
3096,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2020-05-01,225000.0,120.0,2.0
3097,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2020-06-01,1000000.0,266.0,7.0
3098,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2020-07-01,310000.0,151.0,3.0
3099,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2020-08-01,406375.0,277.0,7.0
3100,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2020-09-01,1030000.0,216.0,5.0
3101,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2020-10-01,3324500.0,179.0,3.0
3102,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2020-11-01,177650.0,177.0,6.0
3103,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2020-12-01,346000.0,234.0,3.0
3104,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2021-01-01,10850.0,17.0,1.0
3105,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2021-02-01,4000.0,56.0,2.0
3106,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2021-03-01,5000.0,23.0,1.0
3107,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2021-04-01,135000.0,152.0,3.0
3108,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2021-05-01,657490.0,309.0,8.0
3109,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2021-06-01,496900.0,191.0,5.0
3110,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2021-07-01,308400.0,136.0,3.0
3111,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2021-08-01,225000.0,34.0,1.0
3112,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2021-09-01,3293400.0,196.0,4.0
3113,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2021-10-01,488400.0,270.0,6.0
3114,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2021-11-01,129028.0,84.0,3.0
3115,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2021-12-01,88288.0,117.0,3.0
3116,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2022-03-01,9125.0,27.0,2.0
3117,Overwatch,2016-01-01,First-Person Shooter,34616725.38,18840032.08,0.544246513013184,4047,835,United States of America,2022-04-01,166629.66,122.0,4.0
